name,platform,r-date,score,user score,developer,genre,players,critics,users
The Legend of Zelda: Ocarina of Time,Nintendo64,1998-11-23,99,9.1,Nintendo,"Action Adventure,Fantasy",,22,5749
Tony Hawk's Pro Skater 2,PlayStation,2000-09-20,98,7.4,NeversoftEntertainment,"Sports,Alternative,Skateboarding",,19,647
Grand Theft Auto IV,PlayStation3,2008-04-29,98,7.6,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",,64,3806
SoulCalibur,Dreamcast,1999-09-08,98,8.5,Namco,"Action,Fighting,3D",,24,324
Grand Theft Auto IV,Xbox360,2008-04-29,98,7.9,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",,86,3364
Super Mario Galaxy,Wii,2007-11-12,97,9.0,Nintendo,"Action,Platformer,Platformer,3D,3D",,73,3059
Super Mario Galaxy 2,Wii,2010-05-23,97,9.1,NintendoEADTokyo,"Action,Platformer,Platformer,3D,3D",,87,2521
Red Dead Redemption 2,XboxOne,2018-10-26,97,7.8,RockstarGames,"Action Adventure,Open-World",,33,3186
Grand Theft Auto V,XboxOne,2014-11-18,97,7.8,RockstarNorth,"Action Adventure,Modern,Open-World",,14,1285
Grand Theft Auto V,PlayStation3,2013-09-17,97,8.3,RockstarNorth,"Modern,Action Adventure,Modern,Open-World",,50,4568
Grand Theft Auto V,Xbox360,2013-09-17,97,8.3,RockstarNorth,"Modern,Action Adventure,Modern,Open-World",,58,3905
Tony Hawk's Pro Skater 2,Dreamcast,2000-11-06,97,6.2,Treyarch,"Sports,Alternative,Skateboarding",,18,88
The Legend of Zelda: Breath of the Wild,Switch,2017-03-03,97,8.6,Nintendo,"Action Adventure,Open-World",,109,15873
Tony Hawk's Pro Skater 3,PlayStation2,2001-10-28,97,7.6,NeversoftEntertainment,"Sports,Alternative,Skateboarding",,34,406
Perfect Dark,Nintendo64,2000-05-22,97,8.9,RareLtd.,"Action,Shooter,First-Person,Sci-Fi",,30,420
Red Dead Redemption 2,PlayStation4,2018-10-26,97,8.4,RockstarGames,"Action Adventure,Open-World",,99,14315
Grand Theft Auto V,PlayStation4,2014-11-18,97,8.4,RockstarNorth,"Action Adventure,Modern,Open-World",,66,5899
Metroid Prime,GameCube,2002-11-17,97,9.2,RetroStudios,"Action,Shooter,First-Person,Sci-Fi",,70,1113
Grand Theft Auto III,PlayStation2,2001-10-22,97,8.4,DMADesign,"Action Adventure,Modern",,56,881
