,score,score,score,score,user score,user score,players,players,players
,mean,median,count,std,mean,median,sum,mean,max
genre,,,,,,,,,
"2D,Action,Beat-'Em-Up,3D",77.0,77.0,1,,7.6,7.6,0.0,,
"2D,Action,Platformer,3D",64.0,64.0,1,,7.0,7.0,0.0,,
"3D,Action,Platformer,2D",67.0,67.0,1,,5.9,5.9,0.0,,
"3D,Beat-'Em-Up,Fighting,Action,Shooter,Third-Person,Arcade",66.0,66.0,1,,6.2,6.2,0.0,,
"3D,Fighting,Action,Action Adventure,Beat-'Em-Up,Shooter,Beat-'Em-Up,Linear,Third-Person,3D,Arcade",62.0,62.0,3,1.0,7.3999999999999995,7.4,0.0,,
Action Adventure,71.0,71.0,2,0.0,6.7,6.7,0.0,,
"Action Adventure,Adventure,3D,Linear,First-Person",58.0,58.0,2,9.899494936611665,6.55,6.55,0.0,,
"Action Adventure,Adventure,3D,Open-World,First-Person,Fantasy,Fantasy",80.0,80.0,1,,7.9,7.9,0.0,,
"Action Adventure,Adventure,3D,Open-World,Modern,Third-Person,Modern",73.33333333333333,71.0,6,6.3456021516217564,7.75,7.8,0.0,,
"Action Adventure,Adventure,3D,Open-World,Third-Person",77.33333333333333,77.0,3,1.5275252316519452,7.8999999999999995,7.8,0.0,,
"Action Adventure,Adventure,3D,Sandbox,First-Person,Fantasy,Fantasy",88.5,88.5,4,3.696845502136472,7.225,7.199999999999999,0.0,,
"Action Adventure,Adventure,3D,Survival,First-Person",75.0,75.0,1,,8.3,8.3,0.0,,
"Action Adventure,Adventure,3D,Survival,Modern,Third-Person,Modern",62.0,59.0,3,6.082762530298219,7.6,7.6,0.0,,
"Action Adventure,Adventure,3D,Survival,Third-Person,Modern",41.333333333333336,40.0,3,10.066445913694334,3.4333333333333336,3.5,0.0,,
"Action Adventure,Adventure,Fantasy,General,Fantasy,Point-and-Click",84.0,85.0,3,1.7320508075688772,8.666666666666666,8.7,0.0,,
"Action Adventure,Adventure,Fantasy,Third-Person,General,Fantasy,Fantasy",51.0,51.0,1,,6.7,6.7,0.0,,
"Action Adventure,Adventure,First-Person,3D,Open-World,Modern,Third-Person,Modern",89.0,89.0,1,,7.8,7.8,0.0,,
"Action Adventure,Adventure,General",80.28571428571429,80.0,7,2.288688541085319,7.585714285714286,7.7,0.0,,
"Action Adventure,Adventure,General,3D,First-Person",63.5,67.5,4,12.288205727444506,6.825,7.25,0.0,,
"Action Adventure,Adventure,General,3D,Third-Person",71.0,69.0,5,7.615773105863909,7.0,7.3,0.0,,
"Action Adventure,Adventure,General,Fantasy",81.0,81.0,1,,8.0,8.0,0.0,,
"Action Adventure,Adventure,General,Fantasy,General",54.0,54.0,1,,,,0.0,,
"Action Adventure,Adventure,General,Fantasy,General,3D,Third-Person",56.0,56.0,1,,,,0.0,,
"Action Adventure,Adventure,General,Fantasy,General,Fantasy",68.66666666666667,70.0,9,6.708203932499369,7.48888888888889,7.6,0.0,,
"Action Adventure,Adventure,General,Fantasy,General,Fantasy,Linear",79.0,79.0,4,0.0,7.875,7.9,0.0,,
"Action Adventure,Adventure,General,Fantasy,Point-and-Click",78.0,77.0,7,4.472135954999578,8.3,8.3,0.0,,
"Action Adventure,Adventure,General,General",73.77777777777777,77.0,9,10.40165585108661,7.377777777777778,7.7,0.0,,
"Action Adventure,Adventure,General,General,Linear",74.0,74.0,2,5.656854249492381,7.1,7.1,0.0,,
"Action Adventure,Adventure,General,General,Modern",63.0,63.0,2,4.242640687119285,7.8,7.8,0.0,,
"Action Adventure,Adventure,General,General,Open-World",75.0,75.0,1,,6.7,6.7,0.0,,
