,score,score,score,score,user score,user score,players,players,players
,mean,median,count,std,mean,median,sum,mean,max
platform,,,,,,,,,
3DS,69.6075,71.0,400,12.251067929512661,7.07020725388601,7.4,22.0,2.0,2.0
DS,66.48082191780821,68.0,730,12.589990553980282,7.185764499121265,7.5,32.0,2.0,2.0
Dreamcast,73.696,76.0,125,13.091011444695983,7.950413223140496,8.0,0.0,,
GameBoyAdvance,68.50450450450451,70.0,444,13.052160592874769,7.676488095238096,8.0,0.0,,
GameCube,70.74778761061947,71.0,452,12.868880612581087,7.520681265206813,7.8,0.0,,
Nintendo64,78.52857142857142,81.0,70,13.242138962660754,8.08,8.25,0.0,,
PC,71.55139372822299,73.0,4592,11.76547740311573,6.882642019837692,7.2,48.0,2.0,2.0
PSP,68.49317738791423,69.0,513,11.244115311677488,7.336304347826086,7.6,74.0,2.0,2.0
PlayStation,72.97872340425532,75.5,188,15.939040774823374,7.8393749999999995,8.3,0.0,,
PlayStation2,68.92383638928068,70.0,1418,12.662543030474488,7.64531490015361,8.0,0.0,,
PlayStation3,70.56816390858944,72.0,1269,13.262912695627982,6.857142857142857,7.2,114.0,2.0,2.0
PlayStation4,71.02230290456431,72.0,1928,11.038312319181314,6.397462203023759,6.7,238.0,2.0,2.0
PlayStation5,80.0,82.0,3,6.244997998398398,,,0.0,,
PlayStationVita,70.98054474708171,72.0,257,10.54804905016047,7.256521739130435,7.4,38.0,2.0,2.0
Stadia,76.75,76.5,4,4.349329450233296,7.166666666666667,7.1,0.0,,
Switch,72.44295900178253,74.0,1122,10.27441715970088,7.180677290836653,7.5,74.0,2.0,2.0
Wii,65.7078313253012,67.0,664,13.796261504076087,7.114380165289256,7.5,6.0,2.0,2.0
WiiU,72.02150537634408,76.0,186,13.904678189711229,7.24,7.5,2.0,2.0,2.0
Xbox,69.97225725094577,72.0,793,13.63843118271519,7.244157814871016,7.6,0.0,,
Xbox360,68.5828331332533,71.0,1666,14.093745956687977,6.883992467043315,7.2,62.0,2.0,2.0
XboxOne,72.35241502683363,74.0,1118,10.459845566466637,6.404799216454457,6.7,94.0,2.0,2.0
XboxSeriesX,85.5,85.5,2,0.7071067811865476,,,0.0,,
